Aage
Jørg
Jørn
Jørund
Kacper
Kai
Kaj
Kamal
Kamil
Karim
Karl
Karolis
Karstein
Karsten
Kato
Kay
Ken
Kennet
Kenneth
Kenny
Kent
Kestutis
Ketil
Khaled
Khalid
Khalil
Kian
Kim
Kim-Andre
Kjartan
Kjell
Kjetil
Klaus
Kolbjørn
Konstantin
Kristen
Krister
Kristoffer
Krystian
Krzysztof
Kurt
Kyrre
Kåre
Lars
Lars-Erik
Lasse
Laurits
Lauritz
Leander
Leif
Leo
Leon
Leonard
Leonardo
Levi
Liam
Liban
Linas
Linus
Lionel
Loke
Lorentz
Louis
Luca
Lucas
Ludvig
Ludvik
Luis
Luka
Lukas
Lyder
Mads
Magne
Mahad
Mahamed
Mahdi
Mahmoud
Maksim
Maksym
Maksymilian
Malik
Malvin
Mantas
Manuel
Marc
Marcin
Marco
Marcus
Marian
Mario
Marius
Mariusz
Marko
Markus
Marlon
Martinius
Martynas
Matas
Mateo
Mateusz
Matheo
Matheus
Mathias
Mathis
Matias
Mats
Matteo
Matteus
Matthias
Mattias
Maxim
Maximilian
Md
Mehmet
Michael
Miguel
Mihai
Mika
Mikael
Mikal
Mike
Mikhail
Mikkel
Mikolaj
Milan
Milian
Milos
Mindaugas
Minh
Mio
Miroslaw
Mohamad
Mohamed
Mohammad
Mohammed
Mons
Morgan
Morten
Mostafa
Muhammad
Muhammed
Mustafa
Mykhailo
Mykola
Narve
Natan
Nataniel
Nathaniel
Nerijus
Nicholas
Nicklas
Niclas
Nicolai
Nicolas
Nicolay
Niels
Nikita
Nikola
Nikolai
Nikolas
Nils
Njål
Noa
Noah
Noel
Norbert
Normann
Norvald
Odd
Oddgeir
Oddleif
Oddvar
Oddvin
Odin
Ola
Olai
Olav
Ole-Christian
Ole-Jørgen
Ole-Kristian
Ole-Petter
Oleksandr
Oleksii
Oliver
Olivier
Omer
Omid
Oscar
Oskar
Osman
Osvald
Ottar
Otto
Ove
Paal
Pablo
Patrik
Patryk
Paulius
Pavel
Peder
Pedro
Pelle
Petter
Philip
Phillip
Preben
Przemyslaw
Pål
Rafal
Ragnar
Ragnvald
Rainer
Ralf
Rami
Ramunas
Rasmus
Ravn
Rayan
Raymond
Reidar
Remi
Remy
Reza
Ricardo
Richard
Rikard
Rino
Roald
Roar
Robel
Robert
Robertas
Roberto
Robin
Roger
Roland
Rolandas
Rolf
Rolv
Roman
Ronald
Ronnie
Ronny
Roy
Rudi
Rudolf
Runar
Rune
Ruslan
Ryan
Ryszard
Said
Saleh
Salman
Sami
Samir
Samuel
Sander
Sayed
Scott
Sebastian
Selmer
Sergio
Serhii
Severin
Sigbjørn
Sigfred
Sigmund
Sigurd
Sigvald
Sigvart
Sigve
Silas
Simen
Simon
Sindre
Sivert
Sjur
Skjalg
Slawomir
Snorre
Solomon
Sondre
Stanislav
Steffan
Steffen
Stein
Stephan
Stephen
Steven
Stian
Stig
Storm
Sture
Sturla
Ståle
Svein
Svein-Erik
Sveinung
Sven
Svend
Svenn
Sverre
Sylwester
Sølve
Szymon
Søren
Tadeusz
Tage
Tallak
Tarald
Tarjei
Ted
Tellef
Teo
Teodor
Terje
Theo
Theodor
Thomas
Thor
Thoralf
Thore
Thorleif
Thormod
Thorvald
Tim
Timian
Timo
Tobias
Tom
Tom-Erik
Tomas
Tomasz
Tommy
Tonny
Tony
Tor
Tor-Erik
Toralf
Torben
Torbjørn
Tord
Tore
Torfinn
Torgeir
Torger
Torgrim
Torje
Torkild
Torleif
Torleiv
Tormod
Torodd
Torstein
Torvald
Tristan
Tron
Trond
Truls
Trygve
Trym
Tønnes
Ulrik
Usman
Vaidas
Valentin
Vasile
Vegar
Vemund
Victor
Vidar
Viggo
Viktor
Vilhelm
Villy
Vitalii
Vladyslav
Volodymyr
Vytautas
Waldemar
Walid
Walter
Werner
Widar
Wieslaw
Wiggo
Wiktor
Wilhelm
William
Willy
Wojciech
Yasin
Yasir
Yngvar
Yngve
Yonas
Yosef
Younes
Yousef
Youssef
Yusuf
Zakaria
Zbigniew
Zdzislaw
Øistein
Øivind
Øystein
Åsmund
